,index,nomptar,CodeINSEE,coord
0,821,Abbesses,75118,"48.8843996742, 2.33839938084"
1,753,Achères Grand Cormier,78498,"48.9331642217, 2.04108350764"
2,651,Achères-Ville,78005,"48.9702479985, 2.07767192171"
3,349,Alexandre-Dumas,75111,"48.8564263076, 2.39455425432"
4,317,Alma-Marceau,75116,"48.8642986303, 2.30125140712"
5,141,Alésia,75114,"48.8280659789, 2.32682741672"
6,31,Anatole-France,92044,"48.8920185856, 2.28551744146"
7,649,Antony,92002,"48.7544948531, 2.30077014673"
8,14,Anvers,75118,"48.8828716494, 2.34416356947"
9,728,Arcueil-Cachan,94016,"48.7984604331, 2.32792174881"
10,114,Argentine,75117,"48.8756724452, 2.28944416115"
11,27,Arts-et-Métiers,75103,"48.8655518229, 2.35610815179"
12,635,Asnières-Gennevilliers Les Courtilles,92004,"48.9302935821, 2.28376062986"
13,538,Assemblée Nationale,75107,"48.8614538635, 2.32030968717"
14,570,Auber,75109,"48.8726081392, 2.32970681311"
15,71,Aubervilliers Pantin (4 Chemins),93001,"48.9038980068, 2.39248007534"
16,598,Aulnay-sous-Bois,93005,"48.9321087219, 2.49330955925"
17,611,Avenue Emile-Zola,75115,"48.8468521112, 2.2954488246"
18,10,Avron,75111,"48.8511937784, 2.39823913749"
19,589,Aéroport Charles de Gaulle 1,95527,"49.0103995199, 2.56135733564"
20,668,Aéroport Charles de Gaulle 2 TGV,95527,"49.0041985468, 2.57094642069"
21,594,Bagneux,94016,"48.7932557555, 2.32132499298"
22,178,Balard,75115,"48.836814948, 2.27868334312"
23,412,Barbès-Rochechouart,75109,"48.8836800685, 2.34953280032"
24,633,Basilique de Saint-Denis,93066,"48.9364774519, 2.35963974197"
25,102,Bastille,75104,"48.8529756339, 2.36921882111"
26,245,Bel-Air,75112,"48.8421777857, 2.40114243097"
27,117,Belleville,75119,"48.8722872798, 2.37673767399"
28,56,Bercy,75112,"48.8401922036, 2.37947725393"
29,642,Bibliothèque-François Mitterrand,75113,"48.8298306545, 2.37612000601"
30,97,Billancourt,92012,"48.8320876035, 2.23816077354"
31,157,Bir-Hakeim (Grenelle),75115,"48.8543271778, 2.2888101004"
32,841,Blanc-Mesnil,93007,"48.9322011293, 2.47675086789"
33,119,Blanche,75118,"48.8837704781, 2.33248514494"
34,441,Bobigny-Pablo-Picasso,93008,"48.9071472718, 2.4494575012"
35,146,Bobigny-Pantin (Raymond Queneau),93008,"48.8957991918, 2.42485729506"
36,60,Boissière,75116,"48.866856114, 2.29003807011"
37,653,Boissy-Saint-Léger,94004,"48.7529886038, 2.50522284262"
38,647,Bolivar,75119,"48.8808081239, 2.37393711277"
39,235,Bonne Nouvelle,75109,"48.8705767128, 2.34849429038"
40,561,Botzaris,75119,"48.8792836316, 2.38912909357"
41,318,Boucicaut,75115,"48.8410253145, 2.287923864"
42,516,Boulogne Pont de Saint-Cloud,92012,"48.8406801223, 2.22831365839"
43,382,Boulogne-Jean-Jaurès,92012,"48.8422801027, 2.23886297203"
44,797,Bourg-la-Reine,92014,"48.780050897, 2.31216262263"
45,292,Bourse,75102,"48.8687617518, 2.34067412548"
46,702,Brochant,75117,"48.8906176051, 2.3201911209"
47,587,Bry-sur-Marne,94015,"48.844534026, 2.52654384297"
48,50,Bréguet-Sabin,75111,"48.8567679088, 2.37077385505"
49,716,Bures-sur-Yvette,91122,"48.6957326095, 2.16308967182"
50,574,Bussy-Saint-Georges,77058,"48.8370461511, 2.70988412471"
51,806,Buttes-Chaumont,75119,"48.8774983378, 2.38123808849"
52,499,Buzenval,75120,"48.8513988304, 2.40139892607"
53,0,Bérault,94080,"48.8453687094, 2.42824450629"
54,171,Cadet,75109,"48.8758256773, 2.34334512124"
55,372,Cambronne,75115,"48.8476990674, 2.30203914034"
56,145,Campo-Formio,75113,"48.8355511759, 2.35875209186"
57,518,Cardinal-Lemoine,75105,"48.8467058283, 2.35133517564"
58,632,Carrefour-Pleyel,93070,"48.9199434643, 2.34390941645"
59,167,Censier-Daubenton,75105,"48.8405942592, 2.35175560961"
60,397,Cergy-Le-Haut,95127,"49.0488353245, 2.01225841561"
61,759,Cergy-Préfecture,95127,"49.0359437943, 2.08014375391"
62,756,Cergy-Saint-Christophe,95127,"49.049764961, 2.03434511366"
63,740,Champigny,94068,"48.8070357613, 2.50990166505"
64,111,Champs-Elysées-Clémenceau,75108,"48.8677439853, 2.31412277704"
65,847,Chardon-Lagache,75116,"48.8451040988, 2.2669360557"
66,296,Charenton-Ecoles,94018,"48.8214897784, 2.413856759"
67,848,Charles Michels,75115,"48.8463629347, 2.28563106255"
68,113,Charles de Gaulle-Etoile,75108,"48.8739310535, 2.29512724832"
69,915,Charles de Gaulle-Etoile,75117,"48.8741647041, 2.2950725596"
70,380,Charonne,75111,"48.8546420067, 2.38503219"
71,394,Chatou-Croissy,78146,"48.8851420309, 2.15562586369"
72,81,Chaussée d'Antin (La Fayette),75109,"48.8729857839, 2.33342622072"
73,484,Chemin Vert,75103,"48.8575865037, 2.36803669161"
74,64,Chevaleret,75113,"48.8345787576, 2.36693389574"
75,464,Château Landon,75110,"48.8784565261, 2.36205371292"
76,344,Château Rouge,75118,"48.8870862423, 2.34937006992"
77,134,Château d'Eau,75110,"48.8724541102, 2.3560561648"
78,100,Château de Vincennes,94080,"48.8443251036, 2.44055234288"
79,3,Châtelet,75101,"48.8585696317, 2.3479332425"
